datetime,open,high,low,close,volume
2022-01-03 00:00,476.30,477.85,473.85,472.24,72668200.00
2022-01-04 00:00,479.22,479.98,475.58,472.08,71178700.00
2022-01-05 00:00,477.16,477.98,468.28,463.02,104538900.00
2022-01-06 00:00,467.89,470.82,465.43,462.58,86858900.00
2022-01-07 00:00,467.95,469.20,464.65,460.76,85111600.00
2022-01-10 00:00,462.70,465.74,456.60,460.18,119362000.00
2022-01-11 00:00,465.23,469.85,462.05,464.37,74303100.00
2022-01-12 00:00,471.59,473.20,468.94,465.63,67605400.00
2022-01-13 00:00,472.19,472.88,463.44,459.21,91173100.00
2022-01-14 00:00,461.19,465.09,459.90,459.40,95890900.00
2022-01-18 00:00,459.74,459.96,455.31,451.27,109709100.00
2022-01-19 00:00,458.13,459.61,451.46,446.58,109357600.00
2022-01-20 00:00,453.75,458.74,444.50,441.64,122379700.00
2022-01-21 00:00,445.56,448.06,437.95,432.97,202271200.00
2022-01-24 00:00,432.03,440.38,420.76,434.81,251783900.00
2022-01-25 00:00,433.06,439.72,427.15,429.50,167997300.00
2022-01-26 00:00,440.72,444.04,428.86,428.42,186391100.00
2022-01-27 00:00,438.26,441.59,429.45,426.30,149878300.00
2022-01-28 00:00,432.68,442.00,427.82,436.89,164457400.00
2022-01-31 00:00,441.24,450.28,439.81,444.76,152251400.00
2022-02-01 00:00,450.68,453.63,446.94,447.77,123155400.00
2022-02-02 00:00,455.50,458.12,453.05,452.12,117361000.00
2022-02-03 00:00,450.95,452.97,445.71,441.49,118024400.00
2022-02-04 00:00,446.35,452.78,443.83,443.56,118454400.00
2022-02-07 00:00,449.51,450.99,445.85,442.14,84472900.00
2022-02-08 00:00,446.73,451.92,445.22,445.78,81012000.00
2022-02-09 00:00,455.22,457.88,455.01,452.30,92589900.00
2022-02-10 00:00,451.34,457.71,447.20,444.18,140103700.00
2022-02-11 00:00,449.41,451.61,438.94,435.42,153214600.00
2022-02-14 00:00,439.92,441.60,435.34,434.00,123006300.00
2022-02-15 00:00,443.73,446.28,443.18,440.99,88482700.00
2022-02-16 00:00,443.93,448.06,441.94,441.49,84863600.00
2022-02-17 00:00,443.22,446.57,436.42,432.06,102259100.00
2022-02-18 00:00,437.33,438.66,431.82,429.26,132642900.00
2022-02-22 00:00,431.89,435.50,425.86,424.65,124391800.00
2022-02-23 00:00,432.66,433.26,421.35,417.12,132578000.00
2022-02-24 00:00,411.02,428.76,410.64,423.40,213942900.00
2022-02-25 00:00,429.61,437.84,427.86,432.74,121804500.00
2022-02-28 00:00,432.03,438.20,430.70,431.63,145615000.00
2022-03-01 00:00,435.04,437.17,427.11,425.06,137785900.00
2022-03-02 00:00,432.37,439.72,431.57,432.88,117726500.00
2022-03-03 00:00,440.47,441.11,433.80,430.72,105501700.00
2022-03-04 00:00,431.75,433.37,427.88,427.22,113978200.00
2022-03-07 00:00,431.55,432.30,419.36,414.63,137896600.00
2022-03-08 00:00,419.62,427.21,415.12,411.49,164772700.00
2022-03-09 00:00,425.14,429.51,422.82,422.52,116990800.00
2022-03-10 00:00,422.52,426.43,420.44,420.61,93972700.00
2022-03-11 00:00,428.12,428.77,419.53,415.26,95636300.00
2022-03-14 00:00,420.89,424.55,415.79,412.23,95729200.00
2022-03-15 00:00,419.77,426.84,418.42,421.29,106219100.00
2022-03-16 00:00,429.89,435.68,424.80,430.63,144954800.00
2022-03-17 00:00,433.59,441.07,433.19,436.02,102676900.00
2022-03-18 00:00,438.00,444.86,437.22,440.80,106345500.00
2022-03-21 00:00,444.34,446.46,440.68,440.67,88349800.00
2022-03-22 00:00,445.86,450.58,445.86,445.82,74650400.00
2022-03-23 00:00,446.91,448.49,443.71,440.08,79426100.00
2022-03-24 00:00,445.94,450.50,444.76,446.72,64736900.00
2022-03-25 00:00,451.16,452.98,448.43,448.90,77101300.00
2022-03-28 00:00,452.06,455.91,450.06,452.09,68529800.00
2022-03-29 00:00,460.02,462.07,457.18,457.68,86581500.00
2022-03-30 00:00,460.34,461.20,456.47,454.86,79666900.00
2022-03-31 00:00,457.89,458.76,451.16,447.86,121699900.00
2022-04-01 00:00,453.31,453.46,449.14,449.13,89048800.00
2022-04-04 00:00,453.13,456.91,452.26,452.97,59601000.00
2022-04-05 00:00,455.22,457.83,449.82,447.25,74214500.00
2022-04-06 00:00,446.89,448.93,443.47,442.78,106898000.00
